afin	affin
faisait	faisoit
feit	fait
face	fasse
feirent	faire
faudroit	faudrait
fallait	falloit
fallut	falut
fault	faut
faunes	faunus
feux	feuz
fueilles	feuilles
flames	flammes
flamme	flame
flateuses	flatteuses
foy	foi
forestz	forests
forestz	forêts
fréres	freres
frere	frére
fuyr	fuir
fuyte	fuite
fuite	fuitte
gaigné	gagné
gayeté	gaieté
generale	génerale
génerale	générale
genereux	généreux
grands	grans
grand	grans
guéres	guères
guis	gui
habitant	habitans
habitans	habitants
hayne	haine
alaine	haleine
hazard	hasard
haulte	haute
hault	haut
hébreux	hebreux
helas	hélas
yver	hiver
honnestes	honnêtes
honneste	honnête
hyppolite	hippolite
icy	ici
ilz	ils
luy	lui
indifference	indifférence
infidelle	infidele
instruments	instrumens
intelligens	intelligents
interest	interêt
interêt	intérêt
moy	moi
joye	joie
jouïr	jouir
lasche	làche
làches	lâches
lâchement	làchement
lacheté	lâcheté
lâcheté	làcheté
laissait	laissoit
laissa	laissast
leger	léger
legitime	légitime
leon	léon
libertez	libertés
liens	lyens
lieuës	lieues
leu	lû
lû	lu
lict	lit
loix	loy
loix	loi
loing	loin
loysir	loisir
longtemps	longtems
lors	lords
loüanges	louanges
lumiéres	lumieres
mai	may
maistresse	maîtresse
maîtresse	maitresse
maniéres	manieres
maniere	manière
mary	mari
meschanceté	méchanceté
meschants	méchants
mesmes	mêmes
mesme	même
memoire	mémoire
mène	mene
mespris	mépris
mere	mére
merite	mérite
meriter	mériter
merité	mérité
mestier	métier
mydi	midi
misere	misére
missionaires	missionnaires
moys	mois
montee	montée
monstre	montre
monstrer	montrer
mouvements	mouvemens
nees	nées
nez	nés
neantmoins	néanmoins
necessaire	nécessaire
necessairement	nécessairement
necessité	nécessité
ny	ni
noz	nos
nostre	notre
nostre	nôtre
nôtre	notre
nuict	nuit
o	ô
obeïr	obeyr
obeissant	obéissant
obeissance	obéissance
offence	offense
offencé	offensé
oyseau	oiseau
undes	ondes
onc	onques
or	ore
ostoient	ôtaient
ostent	ôtèrent
oster	ôter
ouy	ouï
ouï	oui
oultre	outre
parce	pource
paroist	paraît
paraît	paroît
paraistre	paroître
parens	parents
parloit	parlait
parmy	parmi
particulièrement	particuliérement
particuliérement	particulierement
povreté	pauvreté
peines	peynes
peine	peyne
pensee	pensée
pensoyent	pensoient
pensoient	pensaient
pére	pere
perilz	perils
peril	péril
perir	périr
pieté	piété
pilote	pilotte
playe	plaie
pleins	plains
plorer	pleurer
plûpart	plupart
plustost	plûtôt
poingnants	poingnans
point	poinct
portait	portoit
pourtrait	portrait
posseder	posséder
pourquoy	pourquoi
pourroit	pourrait
povois	pouvois
pouvoient	pouvaient
pouvoit	pouvait
peult	peut
pouvans	pouvant
pû	pu
premiére	première
première	premiere
premierement	premiérement
prens	prends
prenoyent	prenaient
prenaient	prenoient
pres	près
pres	prés
presence	présence
present	présent
present	presens
presens	présents
presenté	présenté
prestes	prêtes
prest	prêt
prétendaient	prétendoient
prières	prieres
procedé	procédé
procedent	procèdent
prosperer	prospérer
prosperité	prospérité
protestans	protestants
preuve	prouve
puissans	puissants
quoy	quoi
reçus	reçûs
reçuë	reçue
reçeu	reçu
recongnoit	reconnait
recognoit	reconnait
reconaistre	reconnaître
regles	régles
régne	regne
regner	régner
resjouyr	réjouir
relàche	relâche
rendray	rendrai
respandu	répandu
respondray	répondrai
respond	répond
respondre	répondre
responce	réponse
reputation	réputation
résignation	resignation
resister	résister
resonnants	resonants
resout	resolut
resoudre	résoudre
restoit	resta
réünis	réunis
reussir	réussir
roys	rois
roy	roi
ruës	rues
ruyne	ruine
sçaurois	saurois
sçauroit	sauroit
sçauroit	saurait
saurait	sauroit
sçavois	savois
sçavoyent	savaient
sçait	savait
sceut	sut
sçay	sçai
sçai	sais
sçavez	savez
sçait	sait
sçache	sache
sçavoir	savoir
sceu	sçeu
sceu	sçû
sçû	sçu
sçu	su
sejour	séjour
sentimens	sentiments
separe	sépare
servait	servoit
severe	sévère
siecle	siécle
soy	soi
soings	soins
soing	soin
souffert	soufert
soubs	soubz
soubs	sous
soustiennent	soûtiennent
soustenir	soûtenir
soûtenir	soutenir
soustenu	soutenu
succez	succès
suyte	suite
suis	suy
suyvir	suyvre
suyvre	suivre
subjets	sujets
subjet	sujet
seurs	surs
seure	sûre
seur	sûr
seureté	sureté
talens	talents
tantost	tantôt
telz	tels
tesmoigner	témoigner
temps	tems
teste	tête
tiltre	titre
tost	tôt
tousjours	toûjours
toûjours	toujours
torments	tourmens
tourmens	tourments
tormente	tourmente
traîtres	traitres
trempee	trempée
tres	très
thresors	tresors
tresors	trésors
tresor	trésor
troisiesme	troisième
trouverent	trouvèrent
trouva	trouvoit
treuve	trouve
trouver	treuver
trouvé	treuvé
trouvé	trouvé
toy	toi
tirant	tyran
valee	vallee
vault	vaut
venerable	venérable
venoit	venait
vinst	vint
vifz	vifs
vivoit	vivait
vit	vid
veuz	veux
veux	voeux
voicy	voici
voyes	voies
voila	voyla
voila	voilà
voyait	voyoit
voy	vois
voy	voye
voy	voi
voi	voye
voi	vois
voit	voy
voy	void
void	voit
voise	voye
voye	void
voyant	voyans
veu	veuë
veu	vû
vû	vu
volontez	volontés
voulenté	volonté
voz	vos
vostre	votre
vostre	vôtre
vôtre	votre
voudroit	voudrait
voulait	vouloit
vueille	veuille
vray	vrai
